"idPedido","lonCarga","latCarga","lonDescarga","latDescarga","categoria","prioridad","replanificacion","camiones","replan_time","replan_time_limit","idCamion"
"2212AR070-002",-8.89865,43.02162,-8.1202,43.35583,M1,1,15,"A103761A, A103761D, A104967A, A104967B, A104967C",2022-08-08 14:00:00.000,2022-08-10 14:00:00.000,A104967B
"2208AR158-002",-8.05414,43.68793,-7.21707,43.54057,M2,1,29,"A110385A, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-15 14:00:00.000,2022-08-17 14:00:00.000,A103451A
"2207AR070-001",-7.62759,43.68176,-7.30608,43.44158,M2,1,0,"A112522A, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-01 08:00:00.000,2022-08-03 08:00:00.000,A103451A
"2114AR107-005",-8.68466,42.96035,-7.08207,43.43666,M3,1,18,"A106058D, A106058E, A106022A",2022-08-10 08:00:00.000,2022-08-12 08:00:00.000,A106022A
"2206AR071-003",-7.47526,43.54792,-7.1727,43.32749,M2,1,9,"A129527A, A129527B, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-05 14:00:00.000,2022-08-07 14:00:00.000,A129527A
"2206AR071-006",-7.46947,43.55012,-7.47689,43.55543,M2,1,7,"A129527A, A129527B, A129527A, A129527B",2022-08-04 14:00:00.000,2022-08-06 14:00:00.000,A129527A
"2212AR121-006",-8.84505,43.08574,-8.85174,43.07602,M1,1,6,"A103761A, A103761D, A103761A, A103761D",2022-08-04 08:00:00.000,2022-08-06 08:00:00.000,A103761A
"2207AR089-006",-7.49462,43.68206,-7.10012,43.434,M2,1,5,"A104715A, A104715B, A104715C, A104715D, A104715E, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-03 14:00:00.000,2022-08-05 14:00:00.000,A103451F
"2209AR046-002",-8.12976,43.34648,-8.12852,43.34434,M2,1,13,"A104967A, A104967B, A104967C, A104967A, A104967B, A104967C",2022-08-07 14:00:00.000,2022-08-09 14:00:00.000,A104967C
"1707AR255-001",-7.53855,43.6702,-6.03112,43.4981,M2,1,0,"A104715A, A104715B, A104715C, A104715D, A104715E, A103698A",2022-08-01 08:00:00.000,2022-08-03 08:00:00.000,A104715C
"1807AR454-003",-7.48304,43.64898,-7.31023,43.43289,M2,1,25,"A104715A, A104715B, A104715C, A104715D, A104715E, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-13 14:00:00.000,2022-08-15 14:00:00.000,A104715B
"2011AR043-001",-8.59304,43.16175,-7.12816,43.39956,M2,1,44,"A106058D, A106058E, A104161B, A104161C",2022-08-23 08:00:00.000,2022-08-25 08:00:00.000,A106058E
"1707AR043-001",-7.40271,43.62668,-7.26301,43.47955,M2,1,22,"A104715A, A104715B, A104715C, A104715D, A104715E, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-12 08:00:00.000,2022-08-14 08:00:00.000,A104715A
"1606AR016-001",-7.30881,43.45025,-7.26202,43.45149,M2,1,27,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-14 14:00:00.000,2022-08-16 14:00:00.000,A103451G
"1806AR178-004",-7.26345,43.42177,-7.27073,43.42465,M2,1,8,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-05 08:00:00.000,2022-08-07 08:00:00.000,A103451E
"1806AR193-005",-7.27525,43.47814,-7.2026,43.43642,M2,1,10,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-06 08:00:00.000,2022-08-08 08:00:00.000,A103451C
"1721AR032-008",-7.23587,43.24284,-7.31339,43.43262,M2,1,29,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-15 14:00:00.000,2022-08-17 14:00:00.000,A103451F
"1906AR209-012",-7.24924,43.42907,-7.3282,43.45396,M2,1,29,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-15 14:00:00.000,2022-08-17 14:00:00.000,A103451D
"2005AR046-003",-7.20975,43.41735,-7.25925,43.50795,M2,1,24,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-13 08:00:00.000,2022-08-15 08:00:00.000,A103451E
"2005AR086-002",-7.19328,43.30753,-7.17732,43.30876,M2,1,13,"A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G, A103451A, A103451B, A103451C, A103451D, A103451E, A103451F, A103451G",2022-08-07 14:00:00.000,2022-08-09 14:00:00.000,A103451D
